[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 4 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 3 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-12-1467104351-89889
[INFO ]17:01:43,222, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 2057 perf-921600-12-1467104351-89889
[INFO ]17:01:43,223, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 95116 perf-921600-12-1467104351-89889
[INFO ]17:01:43,223, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 34090 perf-921600-12-1467104351-89889
[INFO ]17:02:03,646, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-19-1467104178-47117
[INFO ]17:02:03,646, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 77 perf-921600-19-1467104178-47117
[INFO ]17:02:03,646, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-19-1467104178-47117
[INFO ]17:02:03,647, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-19-1467104178-47117
[INFO ]17:02:03,647, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-19-1467104178-47117
[INFO ]17:02:03,648, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 84 perf-921600-19-1467104178-47117
[INFO ]17:02:03,648, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-19-1467104178-47117
[INFO ]17:02:03,648, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 1927 perf-921600-19-1467104178-47117
[INFO ]17:02:03,648, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 73466 perf-921600-19-1467104178-47117
[INFO ]17:02:03,649, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 200953 perf-921600-19-1467104178-47117
[INFO ]17:02:03,659, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-0-1467104178-46850
[INFO ]17:02:03,659, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 102 perf-921600-0-1467104178-46850
[INFO ]17:02:03,660, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 1 perf-921600-0-1467104178-46850
[INFO ]17:02:03,660, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-0-1467104178-46850
[INFO ]17:02:03,660, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 7 perf-921600-0-1467104178-46850
[INFO ]17:02:03,660, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 396 perf-921600-0-1467104178-46850
[INFO ]17:02:03,661, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-0-1467104178-46850
[INFO ]17:02:03,661, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 1195 perf-921600-0-1467104178-46850
[INFO ]17:02:03,661, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 301979 perf-921600-0-1467104178-46850
[INFO ]17:02:03,661, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 20606 perf-921600-0-1467104178-46850
[INFO ]17:02:34,316, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2366 perf-921600-8-1467104362-41840
[INFO ]17:02:34,316, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 2 perf-921600-8-1467104362-41840
[INFO ]17:02:34,316, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-8-1467104362-41840
[INFO ]17:02:34,316, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-8-1467104362-41840
[INFO ]17:02:34,316, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-8-1467104362-41840
[INFO ]17:02:34,317, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 8 perf-921600-8-1467104362-41840
[INFO ]17:02:34,317, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-8-1467104362-41840
[INFO ]17:02:34,317, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 2144 perf-921600-8-1467104362-41840
[INFO ]17:02:34,317, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 78136 perf-921600-8-1467104362-41840
[INFO ]17:02:34,317, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 69070 perf-921600-8-1467104362-41840
[INFO ]17:03:04,682, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2367 perf-921600-16-1467104331-91363
[INFO ]17:03:04,682, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 149 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 64 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-16-1467104331-91363
[INFO ]17:03:04,683, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 1990 perf-921600-16-1467104331-91363
[INFO ]17:03:04,684, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 224844 perf-921600-16-1467104331-91363
[INFO ]17:03:04,684, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 8014 perf-921600-16-1467104331-91363
[INFO ]17:03:13,754, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2839 perf-921600-5-1467104178-91964
[INFO ]17:03:13,754, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 86 perf-921600-5-1467104178-91964
[INFO ]17:03:13,755, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-5-1467104178-91964
[INFO ]17:03:13,755, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-5-1467104178-91964
[INFO ]17:03:13,755, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 4 perf-921600-5-1467104178-91964
[INFO ]17:03:13,755, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 267 perf-921600-5-1467104178-91964
[INFO ]17:03:13,755, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-5-1467104178-91964
[INFO ]17:03:13,756, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 24477 perf-921600-5-1467104178-91964
[INFO ]17:03:13,756, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 184515 perf-921600-5-1467104178-91964
[INFO ]17:03:13,756, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 142311 perf-921600-5-1467104178-91964
[INFO ]17:04:24,180, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2366 perf-921600-17-1467104391-1806
[INFO ]17:04:24,180, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 3 perf-921600-17-1467104391-1806
[INFO ]17:04:24,180, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-17-1467104391-1806
[INFO ]17:04:24,180, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 2 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 124 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 7643 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 142462 perf-921600-17-1467104391-1806
[INFO ]17:04:24,181, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 87701 perf-921600-17-1467104391-1806
[INFO ]17:04:45,794, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2366 perf-921600-3-1467104331-83994
[INFO ]17:04:45,794, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 73 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 111 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 15103 perf-921600-3-1467104331-83994
[INFO ]17:04:45,795, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 96271 perf-921600-3-1467104331-83994
[INFO ]17:04:45,796, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 186421 perf-921600-3-1467104331-83994
[INFO ]17:04:57,407, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2367 perf-921600-8-1467104574-87205
[INFO ]17:04:57,407, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 63 perf-921600-8-1467104574-87205
[INFO ]17:04:57,407, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-8-1467104574-87205
[INFO ]17:04:57,407, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-8-1467104574-87205
[INFO ]17:04:57,407, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-8-1467104574-87205
[INFO ]17:04:57,408, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 41 perf-921600-8-1467104574-87205
[INFO ]17:04:57,408, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-8-1467104574-87205
[INFO ]17:04:57,408, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 3377 perf-921600-8-1467104574-87205
[INFO ]17:04:57,408, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 36918 perf-921600-8-1467104574-87205
[INFO ]17:04:57,408, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 51053 perf-921600-8-1467104574-87205
[INFO ]17:05:37,911, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2366 perf-921600-7-1467104311-58716
[INFO ]17:05:37,911, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 2 perf-921600-7-1467104311-58716
[INFO ]17:05:37,911, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 18 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 7579 perf-921600-7-1467104311-58716
[INFO ]17:05:37,912, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 334042 perf-921600-7-1467104311-58716
